#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
307;J0847-4316;08:47:57.3;-43:16:56.8;0.167294;-3.357e-15;13.44;2.22e+31;
308;J0848+16;08:48:53;+16:43;2.210433;*;3.21;*;
309;J0849-6322;08:49:42.5;-63:22:35.0;2.717737;-5.841e-15;8.35;6.27e+32;
310;B0841+80;08:49:01.5;+80:28:59.1;0.624131;-1.739e-16;3.38;4.28e+30;
311;B0853-33;08:55:38.4;-33:31:39.3;0.788932;-3.934e-15;1.21;1.23e+32;
312;J0855-4644;08:55:36.1;-46:44:13.4;15.459264;-1.736e-12;9.90;1.06e+36;
313;J0855-4658;08:55:19.5;-46:58:22.6;1.738912;-4.118e-14;28.35;2.83e+33;
314;B0855-61;08:56:59.3;-61:37:53.3;1.038952;-1.810e-15;6.53;7.42e+31;
315;J0857-4424;08:57:55.1;-44:24:10.3;3.060217;-2.186e-13;6.53;2.64e+34;
316;J0900-3144;09:00:43.9;-31:44:30.9;90.011843;-3.980e-16;0.82;1.41e+33;
317;J0901-4624;09:01:40.1;-46:24:48.5;2.262468;-4.479e-13;7.46;4.00e+34;
318;B0901-63;09:02:32.4;-63:25:12.0;1.514432;-2.454e-16;4.44;1.47e+31;
319;B0903-42;09:04:59.2;-42:46:14;1.036086;-2.026e-15;4.37;8.29e+31;
320;B0904-74;09:04:10.8;-74:59:42.8;1.819660;-1.533e-15;4.41;1.10e+32;
321;J0905-4536;09:05:23.9;-45:36:53.0;1.011858;-1.526e-16;6.35;6.09e+30;
322;J0905-5127;09:05:51.9;-51:27:48.7;2.887774;-2.076e-13;8.38;2.37e+34;
323;J0905-6019;09:05:15.2;-60:19:22.0;2.933806;-4.493e-15;4.40;5.20e+32;
324;B0905-51;09:07:15.9;-51:57:59.2;3.943902;-2.847e-14;2.63;4.43e+33;
325;B0906-17;09:08:38.1;-17:39:37.6;2.489881;-4.151e-15;1.01;4.08e+32;
326;B0906-49;09:08:35.5;-49:13:06.5;9.367279;-1.329e-12;1.00;4.92e+35;
327;B0909-71;09:09:36.0;-72:12:08.4;0.733735;-1.793e-16;4.00;5.19e+30;
328;B0904+77;09:10;+77:28;0.633292;*;*;*;
329;J0912-3851;09:12:42.7;-38:51:03;0.655271;-1.541e-15;0.62;3.99e+31;
330;J0919-42;09:19;*;1.230618;*;0.58;*;
331;J0919-6040;09:19:27.8;-60:40:50.4;0.821709;-6.752e-18;3.54;2.19e+29;
332;B0917+63;09:21:14.1;+62:54:13.9;0.637758;-1.468e-15;0.79;3.69e+31;
333;B0919+06;09:22:14.0;+06:38:23.3;2.322195;-7.404e-14;1.10;6.79e+33;
334;J0922-4949;09:22:14.9;-49:49:12.0;1.052312;-1.080e-13;10.37;4.49e+33;
335;J0922-52;09:22;-52;103.305785;*;3.76;*;
336;J0923-31;09:23:58;-31:57;*;*;1.02;*;
337;B0922-52;09:24:08.6;-53:02:44.2;1.339952;-6.370e-14;5.61;3.37e+33;
338;B0923-58;09:24:31.0;-58:14:06.4;1.352263;-8.920e-15;1.87;4.76e+32;
339;J0927+23;09:27:37;+23:47;1.312532;*;2.52;*;
340;J0928+06;09:28:44;+06:14;0.485343;*;2.88;*;
341;J0931-1902;09:31:19.1;-19:02:55.0;215.608810;-1.900e-16;3.63;1.62e+33;
342;J0932-3217;09:32:39.1;-32:17:14.2;0.517698;-6.700e-17;3.84;1.37e+30;
343;J0932-5327;09:32:22.8;-53:27:11.0;0.227678;-4.340e-16;3.91;3.90e+30;
344;J0934-4154;09:34:58.2;-41:54:19.5;1.753127;-8.268e-16;3.20;5.72e+31;
345;B0932-52;09:34:28.3;-52:49:27.2;0.692150;-2.230e-15;2.93;6.09e+31;
346;J0940-5428;09:40:58.2;-54:28:40.6;11.422670;-4.289e-12;4.27;1.93e+36;
347;J0941-39;09:41:38;-39:41;1.704221;*;1.29;*;
348;J0941-5244;09:41:41.1;-52:44:04.4;1.518470;-2.624e-15;5.64;1.57e+32;
349;B0940-55;09:42:15.8;-55:52:52.3;1.505191;-5.178e-14;0.30;3.08e+33;
350;B0941-56;09:42:54.4;-56:57:43.4;1.237429;-6.068e-14;5.02;2.96e+33;
351;B0940+16;09:43:30.1;+16:31:37;0.919610;-7.703e-17;1.76;2.80e+30;
352;J0943+22;09:43:25;+22:56;1.876479;*;2.39;*;
353;J0943+41;09:43;+41:09;0.448533;*;2.33;*;
354;B0942-13;09:44:28.9;-13:54:41.6;1.753573;-1.392e-16;0.69;9.63e+30;
355;J0945-4833;09:45:38.2;-48:33:14.5;3.015813;-4.392e-14;2.71;5.23e+33;
356;B0943+10;09:46:07.6;+09:51:55;0.910991;-2.899e-15;0.96;1.04e+32;
357;J0947+27;09:47:22;+27:42;1.175019;*;2.33;*;
358;J0949-6902;09:49:20.5;-69:02:41.6;1.562462;-1.555e-15;8.68;9.59e+31;
359;B0950-38;09:52:17.2;-38:39:10.2;0.727900;-3.073e-16;8.44;8.83e+30;
360;B0950+08;09:53:09.3;+07:55:35.7;3.951551;-3.588e-15;0.26;5.60e+32;
361;J0954-5430;09:54:06.0;-54:30:53.5;2.114906;-1.964e-13;6.20;1.64e+34;
362;B0953-52;09:55:29.5;-53:04:16.7;1.159934;-4.732e-15;4.87;2.17e+32;
363;J0955-61;09:55;-61:48;500.250125;*;5.38;*;
364;J0957-06;09:57;-06:17;0.580147;*;2.99;*;
365;J0957-5432;09:57:56.0;-54:32:03.9;4.912636;-4.699e-14;7.00;9.11e+33;
366;B0957-47;09:59:26.2;-48:09:47.5;1.492346;-1.826e-16;2.96;1.08e+31;
367;J1000-5149;10:00:28.1;-51:49:58.1;3.911183;-1.468e-14;2.33;2.27e+33;
368;B0959-54;10:01:37.9;-55:07:06.7;0.696096;-2.490e-14;0.30;6.84e+32;
369;J1001-5559;10:01:08.6;-55:59:00.2;0.601983;-3.118e-16;3.94;7.41e+30;
370;J1001-5939;10:01:32.2;-59:39:17.8;0.129305;-1.001e-15;3.30;5.11e+30;
371;J1002-5559;10:02:57.9;-55:59:37;1.286172;-2.600e-15;17.42;1.32e+32;
372;J1002-5919;10:02:20.5;-59:19:37.2;1.401563;-2.043e-16;15.13;1.13e+31;
373;B1001-47;10:03:21.5;-47:47:02.0;3.256568;-2.341e-13;3.44;3.01e+34;
374;J1006-6311;10:06:36.6;-63:11:41.2;1.196462;-8.203e-16;9.30;3.87e+31;
375;J1010+15;10:10:00;+15:51;*;*;2.27;*;
376;B1010-23;10:12:33.7;-23:38:22.4;0.397149;-1.389e-16;1.29;2.18e+30;
377;J1012-4235;10:12:07;-42:35;322.476620;*;2.47;*;
378;J1012+5307;10:12:33.4;+53:07:02.6;190.267838;-6.201e-16;0.70;4.66e+33;
379;J1012-5830;10:12:54.9;-58:30:25.6;0.468693;-8.271e-15;5.34;1.53e+32;
380;B1011-58;10:12:48.5;-58:57:40;1.219644;-2.631e-14;10.14;1.27e+33;
381;J1013-5934;10:13:31.8;-59:34:26.7;2.257843;-2.845e-15;11.32;2.54e+32;
382;J1014-48;10:14:18;-48:49:42;0.662778;*;3.30;*;
383;J1015-5719;10:15:37.9;-57:19:12.8;7.148899;-2.932e-12;4.87;8.27e+35;
384;B1014-53;10:16:31.2;-53:45:13.8;1.299404;-3.252e-15;2.50;1.67e+32;
385;J1016-5819;10:16:12.1;-58:19:01.1;11.385093;-9.047e-14;4.62;4.07e+34;
386;J1016-5857;10:16:21.1;-58:57:12.1;9.312161;-7.010e-12;9.31;2.58e+36;
387;B1015-56;10:17:12.8;-56:21:30.7;1.986260;-1.235e-14;11.78;9.68e+32;
388;J1017-7156;10:17:51.3;-71:56:41.6;427.621905;-4.058e-16;0.26;6.85e+33;
389;B1016-16;10:18:40.3;-16:42:10.1;0.554110;-5.349e-16;3.27;1.17e+31;
390;J1019-5749;10:19:52.1;-57:49:05.9;6.153895;-7.603e-13;30.00;1.85e+35;
391;J1020-5921;10:20:14.0;-59:21:34;0.807555;-2.639e-14;2.62;8.41e+32;
392;J1020-6026;10:20:11.4;-60:26:06.8;7.118456;-3.415e-13;29.58;9.60e+34;
393;J1021-5601;10:21:24.8;-56:01:50.9;1.492479;-1.190e-16;4.18;7.01e+30;
394;J1022+1001;10:22:58.0;+10:01:52.7;60.779448;-1.601e-16;0.74;3.84e+32;
395;J1022-5813;10:22:28.1;-58:13:30;0.608374;-5.382e-14;30.00;1.29e+33;
396;J1023+0038;10:23:47.6;+00:38:40.8;592.421468;-4.212e-15;1.37;9.85e+34;
397;J1023-5746;10:23:02.9;-57:46:05;8.970828;-3.088e-11;*;1.09e+37;
398;J1024-0719;10:24:38.6;-07:19:19.3;193.715683;-6.952e-16;1.10;5.32e+33;
399;J1028-5819;10:28:28.0;-58:19:05.2;10.940532;-1.927e-12;2.76;8.32e+35;
400;J1031-6117;10:31:02.2;-61:17:50.6;3.263592;-1.900e-14;30.00;2.45e+33;
401;J1032-5206;10:32:27.6;-52:06:08.5;0.415348;-3.086e-15;4.33;5.06e+31;
402;B1030-58;10:32:07;-59:10;2.154207;-1.392e-14;7.26;1.18e+33;
403;J1034-3224;10:34:19.5;-32:24:26.0;0.869119;-1.741e-16;4.68;5.97e+30;
404;J1035-6345;10:35:03.0;-63:45:18.4;1.725397;-1.043e-15;6.54;7.11e+31;
405;J1036-4926;10:36:13.0;-49:26:21.7;1.959370;-6.328e-15;8.71;4.90e+32;
406;J1036-6559;10:36:20.0;-65:59:09.2;1.874408;-4.785e-15;7.86;3.54e+32;
407;J1036-8317;10:36;-83:17;293.427230;*;1.59;*;
408;J1038+0032;10:38:26.9;+00:32:43.6;34.660173;-8.049e-17;2.36;1.10e+32;
409;B1036-58;10:38:19.7;-58:31:27.1;1.510592;-2.855e-15;2.43;1.70e+32;
410;B1039-19;10:41:36.1;-19:42:13.6;0.721309;-4.916e-16;3.18;1.40e+31;
411;B1039-55;10:42:00.6;-55:21:05.5;0.854074;-4.911e-15;6.98;1.66e+32;
412;J1043-6116;10:43:55.2;-61:16:50.8;3.464983;-1.249e-13;18.20;1.71e+34;
413;J1044-5737;10:44:32.8;-57:37:19.3;7.192750;-2.826e-12;*;8.03e+35;
414;J1045-4509;10:45:50.1;-45:09:54.1;133.793150;-3.162e-16;0.34;1.67e+33;
415;J1046+0304;10:46:43.2;+03:04:06.9;3.064933;-1.167e-15;2.25;1.41e+32;
416;B1044-57;10:46:18.8;-58:13:51.8;2.706897;-8.382e-15;4.80;8.96e+32;
417;J1047-3032;10:47:00.8;-30:32:18.0;3.027294;-5.591e-16;4.14;6.68e+31;
418;J1047-58;10:47:56;-58:41;0.812156;*;2.33;*;
419;J1047-6709;10:47:28.2;-67:09:51.0;5.039016;-4.284e-14;4.67;8.52e+33;
420;B1046-58;10:48:12.2;-58:32:05.8;8.085992;-6.298e-12;2.90;2.01e+36;
421;J1049-5833;10:49:50.3;-58:33:44.6;0.454066;-9.100e-16;9.73;1.63e+31;
422;J1050-5953;10:50:07.1;-59:53:21.4;0.154989;-9.150e-13;9.00;5.60e+33;
423;J1052-5954;10:52:38.1;-59:54:44.1;5.537359;-6.127e-13;13.55;1.34e+35;
424;J1052-6348;10:52:53.3;-63:48:16.6;2.605317;-2.630e-15;5.27;2.71e+32;
425;J1054-5943;10:54:57.7;-59:43:14.1;2.882601;-3.385e-14;6.81;3.85e+33;
426;J1054-5946;10:54:30.4;-59:46:31.0;4.379736;-4.009e-15;5.81;6.93e+32;
427;J1054-6452;10:54:08.8;-64:52:37.5;0.543477;-9.270e-16;13.53;1.99e+31;
428;J1055-6022;10:55:48.5;-60:22:52;1.055344;-1.029e-13;25.63;4.29e+33;
429;J1055-6028;10:55:39.1;-60:28:37.5;10.034032;-2.973e-12;30.00;1.18e+36;
430;J1055-6236;10:55:54.6;-62:36:48.3;2.228981;-3.518e-15;3.64;3.10e+32;
431;J1055-6905;10:55:44.7;-69:05:11.4;0.342536;-2.386e-15;11.91;3.23e+31;
432;J1056-5709;10:56:43.7;-57:09:34.5;1.479111;-1.260e-15;17.61;7.36e+31;
433;B1054-62;10:56:25.5;-62:58:47.6;2.367160;-2.004e-14;2.40;1.87e+33;
434;J1056-7117;10:56:45.9;-71:17:53.3;38.008828;-9.100e-17;5.27;1.37e+32;
435;J1057-4754;10:57:53.1;-47:54:57.6;1.591581;-5.694e-16;3.03;3.58e+31;
436;B1055-52;10:57:58.9;-52:26:56.2;5.073371;-1.501e-13;1.53;3.01e+34;
437;B1056-78;10:57:27.4;-79:14:24.2;0.742169;-7.309e-16;3.46;2.14e+31;
438;J1058-5957;10:58:34.2;-59:57:36.4;1.622665;-1.730e-15;7.11;1.11e+32;
439;B1056-57;10:59:00.9;-57:42:14.2;0.843883;-3.062e-15;2.75;1.02e+32;
440;J1101-6101;11:01:44.9;-61:01:39.6;15.923547;-2.170e-12;7.00;1.36e+36;
441;J1101-6424;11:01:37.1;-64:24:39.3;195.722565;-6.895e-17;7.86;5.33e+32;
442;J1101+65;11:02;+65:07;0.275382;*;1.57;*;
443;J1103-5403;11:03:33.2;-54:03:43.2;294.749655;-3.200e-16;3.16;3.72e+33;
444;J1103-6025;11:03:31.4;-60:25:36.3;2.521516;-6.297e-15;6.83;6.27e+32;
445;J1104-6103;11:04:17.2;-61:03:03.8;3.559919;-2.492e-14;2.31;3.50e+33;
446;J1105-43;11:05:24;-43:57:01;2.848191;*;2.20;*;
447;J1105-6107;11:05:26.1;-61:07:51.4;15.824552;-3.963e-12;7.07;2.48e+36;
448;J1106-6438;11:06:28.4;-64:39:00.0;0.367927;-3.150e-16;7.88;4.58e+30;
449;J1107-5907;11:07:34.4;-59:07:18.7;3.956114;-1.410e-16;1.81;2.20e+31;
450;B1105-59;11:07:58.7;-59:47:04;0.659400;-1.478e-16;3.52;3.85e+30;
451;J1107-6143;11:07:12.3;-61:43:59;0.555742;-4.812e-14;13.72;1.06e+33;
452;B1107-56;11:10:00.4;-56:37:32.9;1.791303;-6.623e-15;9.18;4.68e+32;
453;J1110+58;11:11;+58:52;1.260481;*;2.17;*;
454;J1112-6103;11:12:14.8;-61:03:31.1;15.393650;-7.455e-12;30.00;4.53e+36;
455;B1110-65;11:12:38.5;-66:13:04.8;2.992105;-7.377e-15;19.31;8.71e+32;
456;B1110-69;11:12:51.0;-69:26:31.0;1.218793;-4.220e-15;12.32;2.03e+32;
457;B1112-60;11:14:22.5;-61:00:34.2;1.135306;-5.940e-14;30.00;2.66e+33;
458;B1112+50;11:15:38.4;+50:30:12.2;0.603704;-9.085e-16;0.51;2.17e+31;
459;J1115-6052;11:15:53.6;-60:52:17.8;3.849461;-1.072e-13;6.76;1.63e+34;
460;B1114-41;11:16:43.0;-41:22:43.9;1.060268;-8.941e-15;2.68;3.74e+32;
461;J1117-6154;11:17:23.8;-61:54:22;1.979817;-4.904e-14;22.38;3.83e+33;
462;J1117-6447;11:17:45.0;-64:47:58;0.865597;-1.798e-16;27.12;6.14e+30;
463;J1119-6127;11:19:14.3;-61:27:49.5;2.451203;-2.416e-11;8.40;2.34e+36;
464;B1118-79;11:19:40.8;-79:36:30.3;0.438482;-7.056e-16;1.52;1.22e+31;
465;J1120-3618;11:20:22.4;-36:18:32.2;180.180180;*;4.50;*;
466;B1119-54;11:21:19.1;-54:44:05.5;1.866427;-9.639e-15;15.43;7.10e+32;
467;J1122+78;11:25:58;+78:23;238.016817;*;0.64;*;
468;J1123-4844;11:23:15.6;-48:44:22.7;4.084325;-1.091e-15;8.74;1.76e+32;
469;J1123-6102;11:23:41.7;-61:02:06.2;1.561930;-1.576e-14;14.75;9.72e+32;
470;J1123-6259;11:23:55.5;-62:59:10.7;3.684136;-7.130e-14;7.54;1.04e+34;
471;J1123-6651;11:23:52.2;-66:51:49.0;4.292280;-5.067e-14;3.48;8.59e+33;
472;J1124-3653;11:24;-36:00;414.937759;*;4.40;*;
473;J1124-5638;11:24:56.4;-56:38:39.7;5.389093;-2.614e-16;23.74;5.56e+31;
474;J1124-5916;11:24:39.0;-59:16:19;7.381335;-4.100e-11;5.00;1.19e+37;
475;J1124-6421;11:24:59.5;-64:21:17;2.087253;-2.701e-15;14.90;2.23e+32;
476;J1125-5825;11:25:44.3;-58:25:16.8;322.350433;-6.328e-15;2.98;8.05e+34;
477;J1125-6014;11:25:55.2;-60:14:06.6;380.173100;-5.790e-16;1.94;8.69e+33;
478;J1126-27;11:26;-27:37;2.792040;*;2.10;*;
479;B1124-60;11:26:52.6;-60:54:39.9;4.932501;-6.843e-15;8.05;1.33e+33;
480;J1126-6942;11:26:21.6;-69:42:15.3;1.725874;-9.835e-15;2.07;6.70e+32;
481;J1128-6219;11:28:46.7;-62:19:09;1.938046;-4.132e-17;30.00;3.16e+30;
482;J1129-53;11:29:21;-53:31;0.940840;*;2.68;*;
483;J1130-5826;11:30:16.3;-58:26:02.3;6.160538;-6.031e-16;9.45;1.47e+32;
484;J1130-5925;11:30:10.4;-59:25:34.1;1.468464;-2.052e-15;8.28;1.19e+32;
485;J1130-6807;11:30:31.9;-68:07:28.5;3.900874;-6.995e-15;7.14;1.08e+33;
486;J1132-46;11:32:33;-46:55:06;3.073141;*;7.36;*;
487;J1132-5627;11:32:15.7;-56:27:28.9;5.708862;-2.216e-15;21.30;4.99e+32;
488;B1131-62;11:33:51.4;-62:50:50.6;0.977636;-4.320e-16;30.00;1.67e+31;
489;J1135-49;11:35:56;-49:25:31;*;*;8.74;*;
490;J1135-6055;11:35;-60:55;8.700000;-6.000e-12;*;2.06e+36;
491;B1133+16;11:36:03.2;+15:51:04.4;0.841812;-2.646e-15;0.35;8.79e+31;
492;B1133-55;11:36:02.1;-55:25:08.3;2.741938;-6.176e-14;2.60;6.69e+33;
493;J1137-6700;11:37:32.0;-67:00:33.0;1.797863;-2.318e-16;19.53;1.64e+31;
494;J1138-6207;11:38:21.6;-62:07:59.3;8.506020;-9.028e-13;24.50;3.03e+35;
495;J1141-3107;11:41:25.6;-31:07:52.6;1.857245;-6.761e-15;2.72;4.96e+32;
496;J1141-3322;11:41:42.7;-33:22:37.4;3.430914;-5.455e-15;3.84;7.39e+32;
497;J1141-6545;11:41:07.0;-65:45:19.1;2.538723;-2.776e-14;3.00;2.78e+33;
498;J1142+0119;11:42;+01:19;197.238659;*;2.04;*;
499;J1142-6230;11:42:52.5;-62:30:03.9;1.790884;-2.500e-16;10.81;1.77e+31;
500;J1143-5158;11:43:15.0;-51:58:39.8;1.480065;-1.523e-15;10.68;8.90e+31;
501;J1143-5536;11:43:09.7;-55:36:04.5;1.459090;-1.033e-15;11.44;5.95e+31;
502;J1144-6146;11:44:34.8;-61:46:49;1.012368;3.900e-17;2.14;*;
503;J1144-6217;11:44:02.1;-62:17:30.3;1.175551;-4.261e-14;8.88;1.98e+33;
504;B1143-60;11:46:07.7;-60:30:59.4;3.658013;-2.401e-14;2.59;3.47e+33;
505;J1147-66;11:47;-66;268.817204;*;4.26;*;
506;J1148-5725;11:48:28.5;-57:25:12.6;0.280904;-8.760e-16;6.99;9.71e+30;
507;J1148-6415;11:48:37.8;-64:15:33;0.308544;-2.570e-16;9.07;3.13e+30;
508;J1151-6108;11:51:56.8;-61:08:17.6;9.839305;-9.951e-13;7.65;3.87e+35;
509;J1152-5800;11:52:10.0;-58:00:34;0.558712;-4.000e-16;7.87;8.82e+30;
510;J1152-6012;11:52:53.8;-60:12:21;2.655552;-4.714e-14;2.09;4.94e+33;
511;J1153-21;11:53;-21:18;0.426716;*;2.76;*;
512;J1154-6250;11:54:20.1;-62:50:02.7;3.545952;-7.029e-15;2.06;9.84e+32;
513;J1156-5707;11:56:07.4;-57:07:01.9;3.467293;-3.180e-13;20.40;4.35e+34;
514;J1156-5909;11:56:21.5;-59:09:12.3;0.963455;-9.468e-16;8.76;3.60e+31;
515;J1157-5112;11:57:08.1;-51:12:56.1;22.941448;-7.526e-17;1.88;6.82e+31;
516;B1154-62;11:57:15.2;-62:24:50.8;2.496741;-2.451e-14;4.00;2.42e+33;
517;J1159-6409;11:59:21.7;-64:09:57;1.498160;-5.387e-17;6.03;3.19e+30;
518;J1159-7910;11:59:35.7;-79:10:05.6;1.904493;-1.022e-14;4.36;7.68e+32;
519;J1201-6306;12:01:23.0;-63:06:59.5;1.688801;-1.014e-14;30.00;6.76e+32;
520;B1159-58;12:02:28.4;-58:20:33.4;2.208478;-1.037e-14;4.94;9.04e+32;
521;J1204-6843;12:04:36.7;-68:43:17.1;3.237704;-2.276e-15;5.66;2.91e+32;
522;J1207-5050;12:07:21.8;-50:50:30.3;206.611570;*;2.19;*;
523;J1210-5226;12:10:00.9;-52:26:28.4;2.357764;-1.236e-16;2.60;1.15e+31;
524;J1210-5559;12:10:05.9;-55:59:03.9;3.574399;-9.274e-15;11.65;1.31e+33;
525;J1210-6550;12:10:42.0;-65:50:04.6;0.236015;-2.400e-17;1.58;2.24e+29;
526;J1211-6324;12:11:24.1;-63:24:45.2;2.309021;-1.370e-15;12.30;1.25e+32;
527;J1214-5830;12:14:08.4;-58:30:25.9;1.099115;-6.451e-17;4.83;2.80e+30;
528;J1215-5328;12:15:00.6;-53:28:31.6;1.571304;-2.839e-16;11.24;1.76e+31;
529;J1216-50;12:16:20;-50:27:01;0.157356;*;8.44;*;
530;J1216-6223;12:16:41.8;-62:23:57.8;2.673462;-1.202e-13;30.00;1.27e+34;
531;J1216-6410;12:16:07.3;-64:10:09.2;282.535706;-1.290e-16;1.71;1.44e+33;
532;J1220-6318;12:20:17.8;-63:18:46.5;1.267087;-1.290e-16;13.96;6.45e+30;
533;J1222-5738;12:22:52.3;-57:38:20;0.924929;-1.283e-16;2.12;4.69e+30;
534;J1224-6208;12:24:44.2;-62:08:41.1;1.707180;-5.886e-14;23.64;3.97e+33;
535;B1221-63;12:24:22.1;-64:07:53.9;4.619445;-1.057e-13;4.00;1.93e+34;
536;J1225-5556;12:25:43.8;-55:56:43.1;0.981881;-1.989e-15;5.39;7.71e+31;
537;J1225-6035;12:25:28.6;-60:35:37.6;1.596618;-7.342e-16;6.19;4.63e+31;
538;B1222-63;12:25:42.8;-64:08:43;2.383121;-5.373e-15;24.60;5.05e+32;
539;J1226-32;12:26:50;-32:27;0.161473;*;3.51;*;
540;J1227-4853;12:27:58.7;-48:53:42.7;592.987774;-3.900e-15;2.00;9.13e+34;
541;J1227-6208;12:27:00.4;-62:08:43.7;28.962141;-1.572e-16;15.82;1.80e+32;
542;J1227-63;12:27:12;-63:09;2.249324;*;15.49;*;
543;J1231-1411;12:31:11.3;-14:11:43.6;271.453020;-1.680e-15;0.45;1.80e+34;
544;J1231-4609;12:31:45.7;-46:09:45.2;1.139940;-4.938e-17;6.16;2.22e+30;
545;J1231-6303;12:31:13.0;-63:03:18;0.740063;-7.668e-16;12.12;2.24e+31;
546;J1232-4742;12:32:19.1;-47:42:50.9;0.533904;-3.991e-18;1.40;8.41e+28;
547;J1232-6501;12:32:17.8;-65:01:03.3;11.327349;-1.040e-16;10.00;4.65e+31;
548;J1233-6312;12:33:31.5;-63:12:29;1.770666;-2.170e-14;20.49;1.52e+33;
549;J1233-6344;12:33:39.9;-63:44:55;1.321193;-6.769e-15;30.00;3.53e+32;
550;B1232-55;12:35:19;-55:16;1.566824;*;3.89;*;
551;J1235-6354;12:35:57.7;-63:54:30.4;3.894420;-2.988e-15;27.05;4.59e+32;
552;J1236-5033;12:36:59.1;-50:33:36.3;3.392593;-1.791e-15;8.29;2.40e+32;
553;J1237-6725;12:37:25.9;-67:25:33.9;0.473715;-4.914e-16;7.80;9.19e+30;
554;J1238+21;12:38:23.1;+21:52:11.1;0.893982;-1.155e-15;1.77;4.08e+31;
555;B1237+25;12:39:40.4;+24:53:49.2;0.723354;-5.023e-16;0.84;1.43e+31;
556;B1236-68;12:39:59.0;-68:32:27.7;0.768103;-7.016e-15;2.89;2.13e+32;
557;B1237-41;12:40:17.6;-41:24:51.7;1.952202;-6.627e-15;3.59;5.11e+32;
558;J1243-5735;12:43:35.3;-57:35:42.8;2.122129;-3.603e-16;19.20;3.02e+31;
559;B1240-64;12:43:17.1;-64:23:23.8;2.574129;-2.982e-14;2.00;3.03e+33;
560;J1244-5053;12:44:11.4;-50:53:20.6;3.633627;-1.320e-14;8.49;1.89e+33;
561;J1244-6359;12:44:47.6;-63:59:47.4;6.790050;-2.029e-16;12.05;5.44e+31;
562;J1244-6531;12:44:38.3;-65:31:12;0.646488;-3.001e-15;30.00;7.66e+31;
563;J1245-6238;12:45:21.1;-62:38:55.9;0.438002;-2.095e-15;14.63;3.62e+31;
564;J1246+22;12:46:38;+22:53;2.110462;*;1.77;*;
565;J1248-6344;12:48:46.3;-63:44:09.6;5.041971;-4.301e-13;23.99;8.56e+34;
566;J1248-6444;12:48:32.8;-64:44:00.0;0.809786;-1.267e-15;9.55;4.05e+31;
567;J1249-6507;12:49:54.3;-65:07:19.8;2.301788;-6.411e-17;8.51;5.83e+30;
568;J1251-7407;12:51:52.9;-74:07:15.0;3.057564;-3.413e-15;5.22;4.12e+32;
569;J1252-6314;12:52:42.6;-63:14:32.7;1.214566;-1.600e-16;11.00;7.67e+30;
570;J1253-5820;12:53:28.3;-58:20:40.8;3.913951;-3.216e-14;2.94;4.97e+33;
571;J1254-6150;12:54:32.4;-61:50:50.8;5.419989;-1.833e-14;2.24;3.92e+33;
572;J1255-46;12:55;*;19.230769;*;1.87;*;
573;J1255-6131;12:55:54.8;-61:31:10.1;1.519818;-9.239e-15;7.36;5.54e+32;
574;J1255-62;12:55:18;-62:48;5.467125;*;30.00;*;
575;B1254-10;12:57:04.7;-10:27:05.8;1.619938;-9.518e-16;2.22;6.09e+31;
576;B1256-67;12:59:22.7;-67:41:40;1.507547;-2.741e-15;2.72;1.63e+32;
577;B1257+12;13:00:03.5;+12:40:56.4;160.809659;-2.957e-15;0.60;1.88e+34;
578;J1301+0833;13:01:38.2;+08:33:57.5;543.478261;*;0.91;*;
579;J1301-6305;13:01:45.7;-63:05:33.9;5.419229;-7.834e-12;15.84;1.68e+36;
580;J1301-6310;13:01:28.3;-63:10:40.5;1.506411;-1.281e-13;2.06;7.62e+33;
581;J1302-32;13:02;-32:00;265.251989;*;1.86;*;
582;J1302-63;13:02:04;-63:44:53;3.070081;*;30.00;*;
583;J1302-6313;13:02:19.2;-63:13:29;1.033222;-6.758e-15;28.06;2.76e+32;
584;B1259-63;13:02:47.6;-63:50:08.6;20.936924;-9.989e-13;2.30;8.26e+35;
585;J1303-6305;13:03:00.0;-63:05:00.8;0.433531;-4.100e-16;13.62;7.02e+30;
586;J1305-6203;13:05:20.9;-62:03:21.6;2.337749;-1.756e-13;24.07;1.62e+34;
587;J1305-6256;13:05:28.0;-62:56:39;2.091040;-9.240e-15;30.00;7.63e+32;
588;B1302-64;13:05:23.7;-64:55:26.3;1.749331;-1.234e-14;30.00;8.52e+32;
589;J1305-66;13:05:36;-66:39;5.069033;*;26.41;*;
590;J1306-6242;13:06:44.6;-62:42:03;1.018431;-6.078e-15;22.63;2.44e+32;
591;B1303-66;13:06:38.1;-66:17:21.8;2.114047;-2.670e-14;29.16;2.23e+33;
592;J1307-6318;13:07:54.7;-63:18:35;0.201514;-8.580e-16;14.45;6.83e+30;
593;J1307-67;13:07:41;-67:03:27;0.273883;*;1.64;*;
594;J1308+2127;13:08:48.2;+21:27:06.7;0.096969;-1.053e-15;*;4.03e+30;
595;J1308-4650;13:08:44.5;-46:50:29.7;0.944436;-4.691e-16;4.91;1.75e+31;
596;J1308-5844;13:08:21.0;-58:44:13.8;2.151927;-4.001e-14;8.86;3.40e+33;
597;J1309-6415;13:09:16.6;-64:15:59;1.614326;-2.290e-14;30.00;1.46e+33;
598;J1309-6526;13:09:00.2;-65:26:16.6;2.510720;-1.160e-16;19.94;1.15e+31;
